#x, #y, #z, #V1, #V2
01,10,30,0.0186093,-0.0242852
01,11,30,-0.0155649,0.0226453
01,12,30,0.0124791,0.0210286
01,13,30,0.0094133,-0.0194695
01,14,30,-0.0064208,0.0179990
01,15,30,0.0035469,0.0166416
01,16,30,-0.0008255,0.0154098
01,17,30,0.0017308,-0.0143062
01,18,30,-0.0041216,0.0133306
01,19,30,0.0063384,-0.0124841
01,20,30,-0.0083566,-0.0117750
01,21,30,0.0101488,-0.0112042
01,22,30,-0.0117025,0.0107575
01,23,30,-0.0130161,0.0104152
01,24,30,-0.0140889,0.0101622
01,25,30,-0.0149207,-0.0099847
01,26,30,-0.0155190,0.0098648
01,27,30,-0.0158994,0.0097807
01,28,30,0.0160777,-0.0097139
01,29,30,0.0160684,0.0096503
01,30,30,0.0158894,-0.0095755
01,31,30,0.0155648,0.0094736
01,32,30,-0.0151208,-0.0093323
01,33,30,-0.0145770,-0.0091479
01,34,30,0.0139464,-0.0089234
01,35,30,0.0132431,-0.0086629
01,36,30,-0.0124881,0.0083669
01,37,30,-0.0117060,0.0080335
01,38,30,-0.0109140,-0.0076653
01,39,30,-0.0101231,0.0072700
01,40,30,-0.0093433,0.0068550
02,00,30,-0.0353422,-0.0334398
02,01,30,-0.0351663,0.0333238
02,02,30,-0.0346346,0.0329777
02,03,30,0.0337404,0.0324057
02,04,30,0.0324832,0.0316148
02,05,30,-0.0308737,-0.0306162
02,06,30,0.0289328,0.0294277
02,07,30,0.0266874,0.0280780
02,08,30,-0.0241725,0.0266049
02,09,30,-0.0214353,-0.0250478
02,10,30,0.0185322,0.0234447
02,11,30,-0.0155228,0.0218334
02,12,30,0.0124671,-0.0202514
02,13,30,-0.0094246,0.0187321
02,14,30,0.0064489,-0.0173035
02,15,30,0.0035854,0.0159874
02,16,30,0.0008685,0.0147953
02,17,30,0.0016849,-0.0137304
02,18,30,-0.0040698,0.0127912
02,19,30,0.0062773,-0.0119767
02,20,30,0.0082846,-0.0112936
02,21,30,0.0100662,0.0107428
02,22,30,0.0116090,-0.0103123
02,23,30,-0.0129109,-0.0099846
02,24,30,0.0139715,-0.0097450
02,25,30,0.0147921,-0.0095795
02,26,30,-0.0153809,0.0094705
02,27,30,0.0157537,0.0093960
02,28,30,0.0159285,-0.0093370
02,29,30,-0.0159190,-0.0092802
02,30,30,0.0157408,-0.0092138
02,31,30,0.0154166,0.0091233
02,32,30,0.0149729,0.0089965
02,33,30,-0.0144317,-0.0088271
02,34,30,0.0138061,0.0086178
02,35,30,0.0131080,-0.0083739
02,36,30,0.0123581,0.0080956
02,37,30,-0.0115813,-0.0077806
02,38,30,0.0107956,-0.0074310
02,39,30,-0.0100126,-0.0070533
02,40,30,-0.0092414,0.0066549
03,00,30,0.0349725,0.0319799
03,01,30,0.0347939,-0.0318607
03,02,30,-0.0342565,0.0315065
03,03,30,0.0333590,-0.0309246
03,04,30,0.0321060,0.0301258
03,05,30,0.0305106,-0.0291251
03,06,30,0.0285942,0.0279428
03,07,30,0.0263839,0.0266083
03,08,30,0.0239145,-0.0251590
03,09,30,-0.0212302,0.0236345
03,10,30,-0.0183826,0.0220737
03,11,30,-0.0154274,-0.0205136
03,12,30,0.0124205,0.0189903
03,13,30,0.0094178,0.0175355
03,14,30,-0.0064716,-0.0161742
03,15,30,-0.0036282,0.0149244
03,16,30,0.0009238,-0.0137957
03,17,30,0.0016198,-0.0127914
03,18,30,0.0039925,0.0119079
03,19,30,0.0061834,-0.0111436
03,20,30,-0.0081714,0.0105028
03,21,30,-0.0099328,0.0099861
03,22,30,-0.0114552,-0.0095837
03,23,30,0.0127369,-0.0092797
03,24,30,-0.0137788,0.0090599
03,25,30,0.0145829,0.0089116
03,26,30,-0.0151579,0.0088179
03,27,30,0.0155203,0.0087578
03,28,30,0.0156874,0.0087136
03,29,30,-0.0156728,0.0086728
03,30,30,-0.0154927,0.0086235
03,31,30,-0.0151689,-0.0085528
03,32,30,0.0147266,0.0084490
03,33,30,-0.0141906,-0.0083036
03,34,30,-0.0135747,0.0081180
03,35,30,0.0128870,-0.0078999
03,36,30,-0.0121467,0.0076499
03,37,30,0.0113809,-0.0073636
03,38,30,-0.0106074,-0.0070429
03,39,30,-0.0098359,0.0066948
03,40,30,-0.0090771,0.0063249
04,00,30,-0.0343641,-0.0299218
04,01,30,-0.0341843,-0.0298031
04,02,30,0.0336455,0.0294503
04,03,30,0.0327520,0.0288707
04,04,30,0.0315142,-0.0280757
04,05,30,-0.0299481,0.0270827
04,06,30,0.0280747,-0.0259153
04,07,30,0.0259200,-0.0246054
04,08,30,0.0235163,-0.0231924
04,09,30,-0.0209047,0.0217167
04,10,30,0.0181320,-0.0202172
04,11,30,0.0152490,0.0187304
04,12,30,-0.0123083,-0.0172889
04,13,30,-0.0093614,-0.0159219
04,14,30,0.0064589,0.0146514
04,15,30,0.0036491,0.0134911
04,16,30,0.0009710,0.0124470
04,17,30,-0.0015502,0.0115204
04,18,30,0.0038998,0.0107084
04,19,30,0.0060636,0.0100092
04,20,30,-0.0080209,-0.0094253
04,21,30,0.0097506,0.0089558
