#x_trans,y_trans,z_trans,V_Dexter
2,22,30,    0.0708094
2,23,30,    0.0738651
2,24,30,   -0.0760716
2,25,30,   -0.0776268
2,26,30,   -0.0786223
2,27,30,   -0.0790689
2,28,30,    0.0789283
2,29,30,    0.0781445
2,30,30,   -0.0766707
2,31,30,   -0.0744883
2,32,30,    0.0716035
2,33,30,    0.0680609
2,34,30,   -0.0639486
2,35,30,    0.0593895
2,36,30,    0.0545180
2,37,30,    0.0494592
2,38,30,   -0.0443507
2,39,30,   -0.0393318
2,40,30,    0.0345157
3,0,30,   -0.4226858
3,1,30,    0.4193964
3,2,30,   -0.4095985
3,3,30,    0.3936184
3,4,30,    0.3719624
3,5,30,   -0.3453202
3,6,30,   -0.3144924
3,7,30,    0.2803737
3,8,30,    0.2440400
3,9,30,   -0.2065859
3,10,30,    0.1690630
3,11,30,    0.1324766
3,12,30,   -0.0977559
3,13,30,    0.0657279
3,14,30,   -0.0371424
3,15,30,    0.0124777
3,16,30,    0.0080739
3,17,30,   -0.0246126
3,18,30,    0.0374695
3,19,30,    0.0471698
3,20,30,    0.0543260
3,21,30,    0.0594947
3,22,30,   -0.0632096
3,23,30,   -0.0659148
3,24,30,   -0.0679167
3,25,30,   -0.0693907
3,26,30,    0.0704123
3,27,30,   -0.0709861
3,28,30,   -0.0710689
3,29,30,   -0.0705960
3,30,30,    0.0695068
3,31,30,   -0.0677601
3,32,30,    0.0653497
3,33,30,    0.0623058
3,34,30,    0.0587049
3,35,30,    0.0546598
3,36,30,   -0.0502898
3,37,30,   -0.0457194
3,38,30,    0.0410818
3,39,30,    0.0365069
3,40,30,   -0.0320997
4,0,30,    0.3907763
4,1,30,    0.3876753
4,2,30,   -0.3784370
4,3,30,   -0.3633184
4,4,30,   -0.3428274
4,5,30,    0.3176589
4,6,30,    0.2886058
4,7,30,    0.2565948
4,8,30,   -0.2226711
4,9,30,   -0.1878644
4,10,30,    0.1531648
4,11,30,    0.1195080
4,12,30,   -0.0877787
4,13,30,    0.0588038
4,14,30,   -0.0332086
4,15,30,   -0.0113550
4,16,30,    0.0066401
4,17,30,    0.0209631
4,18,30,    0.0319350
4,19,30,    0.0400760
4,20,30,    0.0459492
4,21,30,    0.0501307
4,22,30,   -0.0531203
4,23,30,    0.0553249
4,24,30,   -0.0570232
4,25,30,   -0.0583733
4,26,30,    0.0594336
4,27,30,   -0.0601894
4,28,30,   -0.0605807
4,29,30,    0.0605270
4,30,30,    0.0599492
4,31,30,    0.0587858
4,32,30,   -0.0570079
4,33,30,    0.0546321
4,34,30,   -0.0517206
4,35,30,    0.0483654
4,36,30,    0.0446722
4,37,30,   -0.0407561
4,38,30,    0.0367455
4,39,30,    0.0327597
4,40,30,   -0.0288946
5,0,30,   -0.3515383
5,1,30,   -0.3486334
5,2,30,    0.3400178
5,3,30,   -0.3259233
5,4,30,   -0.3068202
5,5,30,    0.2834221
5,6,30,   -0.2565192
5,7,30,    0.2270252
5,8,30,    0.1959485
5,9,30,   -0.1642783
5,10,30,   -0.1329627
5,11,30,   -0.1029077
5,12,30,    0.0749472
5,13,30,    0.0497827
5,14,30,    0.0278717
5,15,30,   -0.0094904
5,16,30,    0.0053580
5,17,30,    0.0169158
5,18,30,    0.0255211
5,19,30,   -0.0317017
5,20,30,    0.0359987
5,21,30,   -0.0389530
5,22,30,    0.0410380
5,23,30,    0.0426171
5,24,30,    0.0439334
5,25,30,    0.0451199
5,26,30,   -0.0462178
5,27,30,   -0.0471921
5,28,30,    0.0479585
5,29,30,    0.0484123
5,30,30,   -0.0484504
5,31,30,   -0.0479878
5,32,30,    0.0469743
5,33,30,   -0.0454073
5,34,30,    0.0433288
5,35,30,   -0.0408098
5,36,30,   -0.0379363
5,37,30,   -0.0348133
5,38,30,    0.0315586
5,39,30,   -0.0282795
5,40,30,    0.0250634
6,0,30,   -0.3059967
6,1,30,    0.3033726
6,2,30,   -0.2955103
6,3,30,   -0.2825416
6,4,30,   -0.2649915
6,5,30,    0.2435970
6,6,30,    0.2191240
6,7,30,   -0.1924744
6,8,30,    0.1646252
6,9,30,    0.1365430
6,10,30,   -0.1091499
6,11,30,    0.0832837
6,12,30,   -0.0596768
6,13,30,    0.0388593
6,14,30,    0.0211767
6,15,30,   -0.0068042
6,16,30,    0.0043986
6,17,30,    0.0127296
6,18,30,    0.0185697
6,19,30,    0.0224468
6,20,30,   -0.0249049
6,21,30,    0.0264586
6,22,30,   -0.0275014
6,23,30,   -0.0283677
6,24,30,   -0.0292596
6,25,30,    0.0302723
6,26,30,    0.0314164
6,27,30,   -0.0326335
6,28,30,    0.0338181
6,29,30,    0.0348393
6,30,30,   -0.0355671
6,31,30,    0.0358916
6,32,30,   -0.0357394
6,33,30,   -0.0350832
6,34,30,   -0.0339400
6,35,30,    0.0323577
6,36,30,   -0.0304064
6,37,30,    0.0281776
6,38,30,    0.0257718
6,39,30,   -0.0232830
6,40,30,   -0.0207898
7,0,30,   -0.2558693
7,1,30,    0.2535195
7,2,30,    0.2464206
7,3,30,   -0.2346745
7,4,30,   -0.2188654
7,5,30,   -0.1996861
7,6,30,    0.1778804
7,7,30,    0.1543380
7,8,30,   -0.1300122
7,9,30,   -0.1058517
7,10,30,    0.0827284
7,11,30,    0.0614114
7,12,30,   -0.0425113
7,13,30,    0.0264248
7,14,30,   -0.0133907
7,15,30,    0.0034085
7,16,30,   -0.0037950
7,17,30,    0.0085846
7,18,30,    0.0113827
7,19,30,   -0.0127444
7,20,30,    0.0131955
7,21,30,   -0.0131946
