#x_rot,y_rot,z_rot,V_homo,V_lumo,Dexter,
24,6,0,-0.018193,0.019994,0.006279,FALSE
24,8,0,0.018708,0.020151,0.006506,FALSE
24,10,0,0.019375,0.020313,0.006794,FALSE
24,12,0,-0.020192,-0.020455,0.00714,FALSE
24,14,0,0.021164,-0.020548,-0.007536,FALSE
24,16,0,0.022303,-0.020552,0.007965,FALSE
24,18,0,0.023629,-0.020417,0.008426,FALSE
24,20,0,-0.025175,0.020081,0.008902,FALSE
24,22,0,0.026987,-0.01947,0.009367,FALSE
26,0,0,0.017507,0.020109,0.006108,FALSE
26,2,0,0.017576,-0.020141,0.006141,FALSE
26,4,0,0.017787,-0.020231,-0.00624,FALSE
26,6,0,0.018145,0.02036,-0.006402,FALSE
26,8,0,0.018655,0.020507,-0.006624,FALSE
26,10,0,-0.019314,0.020652,-0.006905,FALSE
26,12,0,-0.020122,-0.020769,0.007241,FALSE
26,14,0,0.021083,-0.02083,0.00763,FALSE
26,16,0,-0.022208,0.020792,-0.008045,FALSE
26,18,0,-0.02352,0.020605,-0.008486,FALSE
26,20,0,0.025053,-0.020207,-0.00894,FALSE
26,22,0,-0.02686,-0.019523,-0.009382,FALSE
28,0,0,-0.017405,-0.020443,0.006211,FALSE
28,2,0,-0.017474,-0.020474,-0.006244,FALSE
28,4,0,0.017683,-0.020559,0.00634,FALSE
28,6,0,0.018037,-0.020679,-0.006498,FALSE
28,8,0,-0.018538,0.020814,-0.006714,FALSE
28,10,0,-0.019186,0.02094,-0.006985,FALSE
28,12,0,0.01998,-0.021031,-0.007308,FALSE
28,14,0,-0.020925,-0.021054,-0.007678,FALSE
28,16,0,0.022033,0.020969,0.008081,FALSE
28,18,0,0.023327,0.020723,0.008495,FALSE
28,20,0,0.024844,-0.020254,-0.00892,FALSE
30,0,0,0.017226,-0.020718,-0.006282,FALSE
30,2,0,-0.017294,-0.020746,0.006313,FALSE
30,4,0,0.0175,0.020825,-0.006407,FALSE
30,6,0,-0.017849,0.020935,-0.006559,FALSE
30,8,0,0.01834,0.021056,-0.006766,FALSE
30,10,0,0.018974,-0.021161,0.007024,FALSE
30,12,0,0.019751,0.021223,-0.007328,FALSE
30,14,0,0.020675,-0.021206,-0.007675,FALSE
30,16,0,-0.021761,0.021067,-0.008061,FALSE
30,18,0,0.023033,0.020754,0.008441,FALSE
30,20,0,-0.02453,0.020208,0.008829,FALSE
32,0,0,-0.01695,-0.020916,0.006309,FALSE
32,2,0,-0.017017,0.020942,-0.006339,FALSE
32,4,0,-0.017221,0.021012,0.006428,FALSE
32,6,0,0.017563,-0.021112,-0.006572,FALSE
32,8,0,-0.018043,-0.021217,0.006767,FALSE
32,10,0,-0.01866,-0.0213,0.007009,FALSE
32,12,0,0.019417,-0.021329,-0.007291,FALSE
32,14,0,0.020318,-0.021267,-0.00761,FALSE
32,16,0,0.021378,-0.021069,-0.007962,FALSE
32,18,0,0.022624,0.020684,-0.008312,FALSE
32,20,0,0.024095,-0.020055,0.008655,FALSE
34,0,0,0.016562,-0.021015,-0.006281,FALSE
34,2,0,0.016629,0.021038,0.006309,FALSE
34,4,0,-0.01683,-0.021101,-0.006392,FALSE
34,6,0,0.017164,-0.021188,0.006527,FALSE
34,8,0,-0.017631,-0.021276,0.006708,FALSE
34,10,0,0.01823,-0.021335,-0.00693,FALSE
34,12,0,0.018963,0.02133,-0.007186,FALSE
34,14,0,-0.019838,-0.021219,-0.007471,FALSE
34,16,0,0.02087,-0.020958,0.007782,FALSE
34,18,0,-0.022085,0.020496,0.008097,FALSE
34,20,0,0.023523,0.019782,0.008391,FALSE
36,0,0,-0.016052,0.020985,-0.006184,FALSE
36,2,0,-0.016117,-0.021005,-0.00621,FALSE
36,4,0,-0.016314,0.02106,-0.006286,FALSE
36,6,0,0.016641,0.021135,0.00641,FALSE
36,8,0,-0.017094,0.021207,-0.006576,FALSE
36,10,0,0.017672,0.021242,-0.006776,FALSE
36,12,0,-0.01838,-0.021202,0.007003,FALSE
36,14,0,0.019225,-0.021042,0.00725,FALSE
36,16,0,0.020226,-0.020717,0.007516,FALSE
36,18,0,-0.021407,-0.020179,-0.007792,FALSE
38,0,0,-0.015413,0.020792,-0.006004,FALSE
38,2,0,-0.015477,-0.02081,-0.006027,FALSE
38,4,0,-0.015669,-0.020859,-0.006097,FALSE
38,6,0,-0.015987,-0.020924,-0.006209,FALSE
38,8,0,0.016424,-0.020982,-0.006358,FALSE
38,10,0,-0.01698,0.020997,0.006536,FALSE
38,12,0,-0.017659,0.020925,-0.006733,FALSE
38,14,0,-0.018474,0.020719,0.006942,FALSE
38,16,0,-0.019442,-0.020332,-0.00716,FALSE
38,18,0,-0.020586,-0.019722,0.007391,FALSE
40,0,0,0.014641,-0.020398,-0.005725,FALSE
40,2,0,0.014704,-0.020415,-0.005746,FALSE
40,4,0,-0.01489,-0.020463,0.00581,FALSE
40,6,0,-0.015196,0.020524,-0.005911,FALSE
40,8,0,0.015616,-0.020574,0.006046,FALSE
40,10,0,-0.016149,-0.020576,-0.006203,FALSE
40,12,0,-0.016801,-0.020479,-0.006373,FALSE
40,14,0,0.017585,-0.020234,-0.006544,FALSE
40,16,0,-0.018519,-0.019794,0.006715,FALSE
42,0,0,-0.01373,-0.01977,0.005334,FALSE
42,2,0,0.013791,0.01979,0.005355,FALSE
