#x, #y, #z, #V1, #V2
055,050,000,-0.0027360,-0.0009943
055,055,000,0.0031565,0.0019140
055,060,000,-0.0029928,0.0010509
055,065,000,0.0033630,-0.0014715
055,070,000,0.0038329,-0.0022756
055,075,000,-0.0038634,0.0022037
055,080,000,0.0036559,0.0018463
055,085,000,0.0036485,0.0020327
055,090,000,-0.0037063,0.0022576
060,000,000,-0.0021004,-0.0001355
060,005,000,0.0017154,-0.0001107
060,010,000,-0.0012350,-0.0000987
060,015,000,-0.0017695,-0.0001099
060,020,000,-0.0022281,0.0001504
060,025,000,0.0019681,-0.0000807
060,030,000,0.0018302,0.0000290
060,035,000,0.0025165,0.0000516
060,040,000,-0.0025032,0.0002233
060,045,000,0.0021491,0.0002429
060,050,000,0.0028489,0.0011699
060,055,000,-0.0032238,0.0019785
060,060,000,-0.0030860,-0.0011062
060,065,000,0.0035156,-0.0016855
060,070,000,0.0038243,0.0021898
060,075,000,-0.0037044,0.0019889
060,080,000,-0.0034787,0.0015565
060,085,000,-0.0036302,-0.0021525
060,090,000,-0.0037828,0.0025727
065,000,000,0.0021292,-0.0001099
065,005,000,0.0019324,-0.0000880
065,010,000,-0.0015240,0.0000736
065,015,000,0.0017397,0.0000784
065,020,000,-0.0022343,0.0001138
065,025,000,-0.0021788,0.0000700
065,030,000,0.0021364,-0.0000203
065,035,000,-0.0025801,-0.0000842
065,040,000,0.0025146,0.0002030
065,045,000,0.0023321,-0.0002319
065,050,000,0.0029271,0.0012184
065,055,000,-0.0032901,0.0020146
065,060,000,-0.0032651,0.0014488
065,065,000,0.0035876,0.0019335
065,070,000,-0.0037566,0.0021983
065,075,000,-0.0035584,-0.0017932
065,080,000,0.0034115,-0.0015481
065,085,000,0.0035900,0.0022045
065,090,000,-0.0037376,0.0026044
070,000,000,0.0019734,0.0000555
070,005,000,0.0020603,-0.0000633
070,010,000,-0.0019440,0.0000578
070,015,000,-0.0018927,0.0000556
070,020,000,-0.0022194,0.0000752
070,025,000,0.0022838,-0.0000525
070,030,000,-0.0022754,0.0000085
070,035,000,-0.0026169,-0.0000924
070,040,000,0.0026371,-0.0002581
070,045,000,-0.0025395,0.0002572
070,050,000,0.0029793,-0.0012347
070,055,000,-0.0032945,-0.0018353
070,060,000,0.0033903,-0.0015688
070,065,000,-0.0036317,-0.0020636
070,070,000,-0.0036686,-0.0021379
070,075,000,-0.0035221,0.0018592
070,080,000,0.0035027,0.0019714
070,085,000,0.0035291,-0.0022223
070,090,000,0.0035277,-0.0022911
075,000,000,0.0017312,0.0000226
075,005,000,-0.0021407,0.0000394
075,010,000,0.0022627,-0.0000568
075,015,000,0.0020449,-0.0000345
075,020,000,0.0021984,0.0000400
075,025,000,0.0023338,0.0000331
075,030,000,0.0023790,0.0000015
075,035,000,0.0026687,0.0000903
075,040,000,-0.0027696,0.0004938
075,045,000,-0.0026835,-0.0003026
075,050,000,0.0030430,0.0013175
075,055,000,0.0033418,0.0018008
075,060,000,0.0034824,-0.0016568
075,065,000,0.0036029,-0.0020072
075,070,000,0.0035622,0.0019497
075,075,000,-0.0035082,0.0019068
075,080,000,-0.0036147,-0.0023736
075,085,000,0.0034808,0.0022728
075,090,000,0.0032837,0.0018680
080,000,000,-0.0017404,0.0000072
080,005,000,-0.0022327,-0.0000199
080,010,000,0.0023453,0.0000399
080,015,000,-0.0020886,-0.0000159
080,020,000,0.0022831,-0.0000230
080,025,000,-0.0023789,-0.0000182
080,030,000,0.0024947,-0.0000005
080,035,000,0.0027444,-0.0001542
080,040,000,0.0027859,0.0003396
080,045,000,0.0027120,0.0001904
080,050,000,-0.0030948,-0.0013271
080,055,000,0.0,0.0
080,060,000,0.0035405,-0.0017344
080,065,000,0.0035649,0.0019337
080,070,000,-0.0035545,-0.0019830
080,075,000,-0.0034583,0.0018414
080,080,000,-0.0036101,-0.0024649
080,085,000,-0.0034686,0.0023578
080,090,000,0.0031969,-0.0017564
085,000,000,0.0019616,-0.0000005
085,005,000,-0.0023063,-0.0000025
085,010,000,0.0022248,-0.0000056
085,015,000,-0.0020964,0.0000055
085,020,000,-0.0024834,0.0000264
085,025,000,0.0024112,0.0000062
085,030,000,0.0024431,0.0000024
085,035,000,0.0028064,-0.0005232
085,040,000,-0.0028221,-0.0004229
085,045,000,0.0027596,-0.0001168
085,050,000,-0.0031488,0.0013934
085,055,000,0.0,0.0
085,060,000,-0.0034742,0.0013970
085,065,000,-0.0035711,0.0019268
085,070,000,-0.0036645,-0.0023005
085,075,000,0.0034131,-0.0018070
085,080,000,0.0035016,-0.0022940
085,085,000,0.0034731,0.0024112
085,090,000,0.0032617,-0.0019488
090,000,000,-0.0020884,0.0000002
090,005,000,-0.0023316,-0.0000003
090,010,000,-0.0021278,-0.0000002
090,015,000,0.0021011,-0.0000002
090,020,000,0.0025911,0.0004456
090,025,000,0.0024165,-0.0000003
090,030,000,-0.0023489,0.0000003
090,035,000,0.0028276,-0.0006099
090,040,000,-0.0028746,0.0007616
090,045,000,-0.0028155,-0.0000002
090,050,000,-0.0031823,0.0014542
090,055,000,-0.0035064,-0.0019855
090,060,000,0.0034022,0.0000005
090,065,000,0.0035909,0.0019239
090,070,000,-0.0037390,-0.0024640
090,075,000,0.0033973,0.0017920
090,080,000,-0.0034377,0.0021442
090,085,000,-0.0034718,-0.0024015
090,090,000,-0.0033149,0.0020438
000,000,005,0.0004293,-0.0001998
000,005,005,0.0004138,0.0002023
000,010,005,-0.0003642,-0.0002086
000,015,005,-0.0001239,-0.0002150
000,020,005,-0.0000611,-0.0002144
000,025,005,-0.0000173,-0.0001999
000,030,005,-0.0005007,0.0001626
000,035,005,0.0008214,-0.0000913
000,040,005,-0.0010025,0.0000246
000,045,005,0.0013038,-0.0001934
000,050,005,-0.0017418,0.0004385
000,055,005,-0.0021904,-0.0007992
000,060,005,0.0026404,-0.0012703
000,065,005,0.0030712,0.0015836
000,070,005,0.0030718,-0.0015597
000,075,005,-0.0031580,-0.0012430
000,080,005,-0.0032290,0.0020448
000,085,005,0.0032553,-0.0026161
000,090,005,0.0032510,0.0027717
005,000,005,0.0003245,-0.0002000
005,005,005,0.0009014,0.0002023
005,010,005,-0.0009664,-0.0002082
005,015,005,-0.0005858,0.0002149
005,020,005,0.0000807,-0.0002120
005,025,005,-0.0001025,0.0001966
005,030,005,-0.0002676,0.0001601
005,035,005,0.0007532,0.0000898
005,040,005,-0.0010038,0.0000240
005,045,005,0.0013566,-0.0001910
005,050,005,0.0018283,0.0004447
005,055,005,-0.0022603,0.0008351
005,060,005,-0.0026791,0.0013246
005,065,005,-0.0031471,-0.0017293
005,070,005,0.0032132,0.0018468
005,075,005,-0.0032721,0.0011058
005,080,005,-0.0032455,0.0019912
005,085,005,0.0032016,0.0024592
005,090,005,0.0031806,0.0026193
010,000,005,-0.0002393,0.0002013
010,005,005,-0.0010351,0.0002029
010,010,005,0.0,0.0
010,015,005,-0.0007536,-0.0002140
010,020,005,-0.0000712,-0.0002099
010,025,005,-0.0001196,-0.0001916
010,030,005,0.0000059,0.0001554
010,035,005,0.0005885,0.0000855
010,040,005,0.0009293,0.0000265
010,045,005,0.0013767,-0.0001914
010,050,005,-0.0019366,0.0004654
010,055,005,0.0024006,-0.0009481
010,060,005,0.0027934,0.0014703
010,065,005,0.0032463,-0.0018655
010,070,005,0.0033015,0.0019796
010,075,005,-0.0033335,-0.0012770
010,080,005,-0.0032795,0.0019903
010,085,005,-0.0032549,-0.0024850
010,090,005,0.0032592,0.0026902
015,000,005,-0.0003404,0.0002031
015,005,005,0.0,0.0
015,010,005,0.0,0.0
015,015,005,0.0007787,-0.0002125
015,020,005,0.0003315,0.0002091
015,025,005,-0.0000881,0.0001893
015,030,005,0.0000824,-0.0001495
015,035,005,-0.0002813,0.0000794
015,040,005,-0.0007966,0.0000303
015,045,005,0.0014002,0.0001929
015,050,005,-0.0020594,0.0005039
015,055,005,-0.0025615,-0.0011512
015,060,005,0.0029457,0.0016706
015,065,005,0.0033088,-0.0018581
015,070,005,0.0032466,0.0017146
015,075,005,0.0,0.0
015,080,005,0.0033011,0.0019590
015,085,005,0.0034265,-0.0027158
015,090,005,-0.0034956,-0.0030046
020,000,005,-0.0004019,0.0002042
020,005,005,-0.0000848,0.0001994
020,010,005,0.0000693,-0.0002048
020,015,005,0.0007077,-0.0002102
020,020,005,-0.0008917,0.0002069
020,025,005,0.0003921,0.0001868
020,030,005,-0.0000863,0.0001429
020,035,005,-0.0000574,0.0000719
020,040,005,0.0004575,-0.0000340
020,045,005,0.0014574,0.0001941
020,050,005,0.0022852,-0.0006289
020,055,005,0.0028004,-0.0016264
020,060,005,-0.0031203,-0.0019670
020,065,005,-0.0031949,0.0017617
020,070,005,0.0031181,0.0012119
020,075,005,0.0031353,0.0004387
020,080,005,-0.0033378,0.0018989
020,085,005,-0.0035957,0.0028966
020,090,005,-0.0037015,0.0032245
025,000,005,0.0003769,-0.0002037
025,005,005,-0.0001002,-0.0001110
025,010,005,-0.0001030,-0.0001685
025,015,005,-0.0006676,0.0002064
025,020,005,-0.0011983,0.0002050
025,025,005,0.0010007,-0.0001841
025,030,005,0.0001657,-0.0001367
025,035,005,0.0000820,0.0000638
025,040,005,0.0000097,-0.0000374
025,045,005,0.0014433,-0.0001929
025,050,005,0.0025271,0.0009118
025,055,005,0.0030211,0.0020523
025,060,005,-0.0031904,0.0020334
025,065,005,0.0031238,-0.0015236
025,070,005,-0.0030556,-0.0009068
025,075,005,0.0031915,0.0002859
025,080,005,-0.0034763,-0.0020328
025,085,005,0.0036896,0.0028789
025,090,005,0.0037456,-0.0031019
030,000,005,-0.0003279,-0.0002013
030,005,005,0.0000951,0.0001661
030,010,005,0.0000942,0.0001835
030,015,005,0.0005900,0.0002004
030,020,005,-0.0011834,0.0001985
030,025,005,0.0013640,-0.0001836
030,030,005,-0.0010863,-0.0001330
030,035,005,0.0001248,-0.0000558
030,040,005,-0.0000115,0.0000426
030,045,005,-0.0014375,0.0001918
030,050,005,-0.0026994,0.0011964
030,055,005,0.0031186,-0.0021078
030,060,005,-0.0030868,0.0016189
030,065,005,-0.0029606,0.0010629
030,070,005,0.0031002,-0.0008267
030,075,005,-0.0034439,0.0009468
030,080,005,0.0037068,0.0023583
030,085,005,-0.0037229,-0.0026819
030,090,005,-0.0036652,0.0026649
035,000,005,-0.0001805,-0.0001939
035,005,005,0.0001198,0.0001922
035,010,005,-0.0001507,-0.0001921
035,015,005,0.0000908,0.0001892
035,020,005,-0.0007481,-0.0001837
035,025,005,0.0015261,-0.0001782
035,030,005,0.0017004,0.0001409
035,035,005,-0.0011278,-0.0000497
035,040,005,-0.0002857,0.0000491
035,045,005,0.0016028,-0.0001925
035,050,005,-0.0028326,-0.0014124
035,055,005,0.0031371,0.0020055
035,060,005,-0.0028490,-0.0010394
035,065,005,0.0028243,-0.0007228
035,070,005,0.0032321,0.0009061
035,075,005,-0.0037191,-0.0018321
035,080,005,-0.0039191,0.0026041
035,085,005,0.0037705,-0.0024785
035,090,005,0.0036201,-0.0022396
040,000,005,-0.0003224,0.0001833
040,005,005,-0.0010498,0.0001879
040,010,005,-0.0009614,-0.0001867
040,015,005,0.0000210,-0.0001748
040,020,005,-0.0000250,0.0001650
040,025,005,-0.0015353,0.0001631
040,030,005,0.0020213,-0.0001631
040,035,005,-0.0016922,0.0000495
040,040,005,-0.0009945,-0.0000529
040,045,005,-0.0018280,-0.0001902
040,050,005,-0.0029416,0.0015338
040,055,005,0.0030940,0.0019054
040,060,005,0.0027567,0.0008111
040,065,005,-0.0029065,0.0006778
040,070,005,0.0034605,-0.0013469
040,075,005,-0.0038954,0.0021348
040,080,005,0.0040003,0.0025043
040,085,005,-0.0038258,-0.0022680
040,090,005,0.0036906,-0.0020398
045,000,005,0.0008036,0.0001715
045,005,005,-0.0014327,0.0001819
045,010,005,-0.0013983,-0.0001805
045,015,005,0.0006561,-0.0001653
045,020,005,0.0001307,0.0001513
045,025,005,-0.0014144,-0.0001438
045,030,005,0.0020865,0.0001511
045,035,005,0.0020673,0.0000575
045,040,005,0.0015138,0.0000531
045,045,005,-0.0019924,0.0001815
045,050,005,0.0,0.0
045,055,005,0.0030310,0.0016494
045,060,005,-0.0027899,0.0007250
045,065,005,0.0031901,-0.0010731
045,070,005,0.0,0.0
045,075,005,-0.0039242,0.0021512
045,080,005,0.0038327,-0.0021051
045,085,005,0.0037085,-0.0020258
045,090,005,0.0036633,-0.0020199
050,000,005,-0.0012684,-0.0001562
050,005,005,0.0015059,-0.0001635
050,010,005,0.0015824,-0.0001676
050,015,005,0.0014143,-0.0001591
050,020,005,0.0010999,-0.0001428
050,025,005,0.0012652,-0.0001249
050,030,005,0.0019986,-0.0001167
050,035,005,0.0,0.0
050,040,005,-0.0019191,0.0000486
050,045,005,0.0020664,0.0001690
050,050,005,0.0029258,0.0013941
050,055,005,0.0030000,0.0013415
050,060,005,0.0028634,0.0006380
050,065,005,0.0034391,0.0016145
050,070,005,-0.0038403,0.0022911
050,075,005,0.0038020,-0.0020430
050,080,005,-0.0036169,-0.0017302
050,085,005,-0.0036452,-0.0020221
050,090,005,-0.0037063,0.0022576
055,000,005,-0.0016698,0.0001406
055,005,005,-0.0014207,0.0001351
055,010,005,-0.0016109,-0.0001442
055,015,005,0.0018938,0.0001618
055,020,005,-0.0017547,0.0001427
055,025,005,-0.0014461,0.0001138
055,030,005,-0.0019330,0.0001029
055,035,005,-0.0024209,-0.0000965
055,040,005,0.0021569,-0.0000347
055,045,005,0.0022058,-0.0001458
055,050,005,-0.0029915,-0.0014898
055,055,005,0.0030915,-0.0014722
055,060,005,0.0029767,0.0006401
055,065,005,-0.0035691,-0.0017921
055,070,005,-0.0037875,-0.0021298
055,075,005,0.0036237,0.0017565
055,080,005,-0.0034673,0.0015091
055,085,005,0.0036467,-0.0021902
055,090,005,-0.0037828,0.0025727
060,000,005,0.0,0.0
060,005,005,0.0013614,0.0001059
060,010,005,0.0016564,0.0001190
060,015,005,0.0020799,0.0001666
060,020,005,-0.0020712,-0.0001549
060,025,005,0.0017862,-0.0001158
060,030,005,0.0021032,0.0001153
060,035,005,0.0024307,0.0001127
060,040,005,0.0022544,0.0000085
060,045,005,-0.0023544,0.0001065
060,050,005,0.0030578,-0.0015173
